proteinID,Multiplex,Symbol,Uniprot,OlinkRef,Fluid,percent missing values,mean_NPX,Intraplate CV,Interplate CV,Short term biotemporal CV,Long term biotemporal CV,plasma CSF correlation
CARDIOMETABOLIC_CA1_P00915_OID01223,CARDIOMETABOLIC,CA1,P00915,OID01223,plasma,0.3968253968253968,6.348294444444444,2.231057300218521,4.399830773419427,8.689900313058892,6.887036428893538,-0.4528141714854854
CARDIOMETABOLIC_CA3_P07451_OID01235,CARDIOMETABOLIC,CA3,P07451,OID01235,CSF,0,NA,NA,NA,-61.4055219430782,NA,-0.01512157855467692
CARDIOMETABOLIC_CA3_P07451_OID01235,CARDIOMETABOLIC,CA3,P07451,OID01235,plasma,0.3968253968253968,2.207191388888889,9.115142915909631,10.5097460854147,18.17199343087675,9.667933449748256,-0.01512157855467692
CARDIOMETABOLIC_CA4_P22748_OID01261,CARDIOMETABOLIC,CA4,P22748,OID01261,CSF,0,NA,NA,NA,1.2266522919266292,NA,-0.1511591520061397
CARDIOMETABOLIC_CA4_P22748_OID01261,CARDIOMETABOLIC,CA4,P22748,OID01261,plasma,0.3968253968253968,3.0200405555555556,5.198852688441145,6.653692768328866,7.119027346755134,6.433548232834614,-0.1511591520061397
CARDIOMETABOLIC_CCL14_Q16627_OID01292,CARDIOMETABOLIC,CCL14,Q16627,OID01292,CSF,0,NA,NA,NA,1.873116955255153,NA,-0.32620030311011444
CARDIOMETABOLIC_CCL14_Q16627_OID01292,CARDIOMETABOLIC,CCL14,Q16627,OID01292,plasma,0.3968253968253968,6.399232777777778,2.5186794570376128,3.9920710727378714,3.89734073873972,3.05245896134302,-0.32620030311011444
CARDIOMETABOLIC_CCL18_P55774_OID01276,CARDIOMETABOLIC,CCL18,P55774,OID01276,CSF,0,NA,NA,NA,12.414103444342594,NA,0.4606834415289985
CARDIOMETABOLIC_CCL18_P55774_OID01276,CARDIOMETABOLIC,CCL18,P55774,OID01276,plasma,0.3968253968253968,5.873353611111111,4.866229095044063,11.653680004982572,5.769403567633788,4.949584720764697,0.4606834415289985
CARDIOMETABOLIC_CCL5_P13501_OID01246,CARDIOMETABOLIC,CCL5,P13501,OID01246,plasma,0.3968253968253968,7.827945,2.8974703961615367,13.297059030269693,12.66660598406802,8.803208845962109,-0.23858819642923426
CARDIOMETABOLIC_CCL5_P13501_OID01246,CARDIOMETABOLIC,CCL5,P13501,OID01246,CSF,4.25531914893617,NA,NA,NA,25.83240459675557,NA,-0.23858819642923426
CARDIOMETABOLIC_CD46_P15529_OID01251,CARDIOMETABOLIC,CD46,P15529,OID01251,CSF,0,NA,NA,NA,1.8410027331675125,NA,-0.11711294251918625
CARDIOMETABOLIC_CD46_P15529_OID01251,CARDIOMETABOLIC,CD46,P15529,OID01251,plasma,0.3968253968253968,5.3911291666666665,4.291352402069331,15.093205836010105,4.88650316088653,7.330587988296875,-0.11711294251918625
CARDIOMETABOLIC_CD59_P13987_OID01248,CARDIOMETABOLIC,CD59,P13987,OID01248,plasma,0.3968253968253968,0.4928875,136.5311760545077,92.37914087741287,-43.877992799016255,303.9468336877661,-0.23355587405585784
CARDIOMETABOLIC_CD59_P13987_OID01248,CARDIOMETABOLIC,CD59,P13987,OID01248,CSF,0,NA,NA,NA,1.5648010061538424,NA,-0.23355587405585784
CARDIOMETABOLIC_CDH1_P12830_OID01245,CARDIOMETABOLIC,CDH1,P12830,OID01245,CSF,0,NA,NA,NA,5.63374630471982,NA,0.33204150718286746
CARDIOMETABOLIC_CDH1_P12830_OID01245,CARDIOMETABOLIC,CDH1,P12830,OID01245,plasma,0.3968253968253968,4.002539444444444,4.0626613829618,6.423120983262286,5.072398788100654,5.269985196096337,0.33204150718286746
CARDIOMETABOLIC_CES1_P23141_OID01263,CARDIOMETABOLIC,CES1,P23141,OID01263,CSF,70.2127659574468,NA,NA,NA,28.97710074016926,NA,NA
CARDIOMETABOLIC_CES1_P23141_OID01263,CARDIOMETABOLIC,CES1,P23141,OID01263,plasma,0.992063492063492,4.49426,5.415612816804507,7.495150058520789,10.682440131006452,6.650972741167314,NA
CARDIOMETABOLIC_CFHR5_Q9BXR6_OID01302,CARDIOMETABOLIC,CFHR5,Q9BXR6,OID01302,plasma,0.3968253968253968,8.4803825,1.625314025552307,1.965465403165428,2.1505527629917647,1.8835679640822145,0.4089058402876764
CARDIOMETABOLIC_CFHR5_Q9BXR6_OID01302,CARDIOMETABOLIC,CFHR5,Q9BXR6,OID01302,CSF,0,NA,NA,NA,6.466525384210998,NA,0.4089058402876764
CARDIOMETABOLIC_CHL1_O00533_OID01216,CARDIOMETABOLIC,CHL1,O00533,OID01216,CSF,0,NA,NA,NA,1.3379454098371961,NA,0.2644300609726178
CARDIOMETABOLIC_CHL1_O00533_OID01216,CARDIOMETABOLIC,CHL1,O00533,OID01216,plasma,0.3968253968253968,4.642071111111111,2.93711455856865,5.195790062737945,3.8192335018289856,3.7485176632126467,0.2644300609726178
CARDIOMETABOLIC_CNDP1_Q96KN2_OID01299,CARDIOMETABOLIC,CNDP1,Q96KN2,OID01299,plasma,0.3968253968253968,5.189155277777778,2.404139709666071,4.843456490624923,4.216009049455457,4.358579501235307,0.11663690630802209
CARDIOMETABOLIC_CNDP1_Q96KN2_OID01299,CARDIOMETABOLIC,CNDP1,Q96KN2,OID01299,CSF,0,NA,NA,NA,1.2858843779891063,NA,0.11663690630802209
CARDIOMETABOLIC_COL18A1_P39060_OID01271,CARDIOMETABOLIC,COL18A1,P39060,OID01271,CSF,0,NA,NA,NA,2.690741697700432,NA,0.24302366696404706
CARDIOMETABOLIC_COL18A1_P39060_OID01271,CARDIOMETABOLIC,COL18A1,P39060,OID01271,plasma,0.3968253968253968,4.445671944444444,3.0832530793196993,5.2880811777599215,4.410863067115964,4.149078269799488,0.24302366696404706
CARDIOMETABOLIC_COMP_P49747_OID01274,CARDIOMETABOLIC,COMP,P49747,OID01274,plasma,0.3968253968253968,8.455261944444445,1.3932861505470235,2.6046762054594716,2.5491136991596215,2.5781185713865784,-0.0671923321941094
CARDIOMETABOLIC_COMP_P49747_OID01274,CARDIOMETABOLIC,COMP,P49747,OID01274,CSF,0,NA,NA,NA,2.7960927090188874,NA,-0.0671923321941094
CARDIOMETABOLIC_CR2_P20023_OID01258,CARDIOMETABOLIC,CR2,P20023,OID01258,CSF,0,NA,NA,NA,7.002801677682008,NA,-0.34486337158335745
CARDIOMETABOLIC_CR2_P20023_OID01258,CARDIOMETABOLIC,CR2,P20023,OID01258,plasma,0.3968253968253968,7.106534444444445,1.6351943176259305,3.9320304811129163,2.710829807023025,3.228579430171869,-0.34486337158335745
CARDIOMETABOLIC_CRTAC1_Q9NQ79_OID01304,CARDIOMETABOLIC,CRTAC1,Q9NQ79,OID01304,CSF,0,NA,NA,NA,2.738748114715928,NA,0.23084138809701907
CARDIOMETABOLIC_CRTAC1_Q9NQ79_OID01304,CARDIOMETABOLIC,CRTAC1,Q9NQ79,OID01304,plasma,0.3968253968253968,4.2567441666666666,4.75182271684606,6.640330371553885,3.757461444484348,4.079495341043117,0.23084138809701907
CARDIOMETABOLIC_CST3_P01034_OID01225,CARDIOMETABOLIC,CST3,P01034,OID01225,CSF,0,NA,NA,NA,0.48076352284411095,NA,0.10477882888699978
CARDIOMETABOLIC_CST3_P01034_OID01225,CARDIOMETABOLIC,CST3,P01034,OID01225,plasma,0.3968253968253968,7.170390555555556,2.4776617407133052,4.928239330123373,2.718944895190159,3.4134750808041887,0.10477882888699978
CARDIOMETABOLIC_DEFA1_P59665_OID01277,CARDIOMETABOLIC,DEFA1,P59665,OID01277,CSF,80.85106382978722,NA,NA,NA,NA,NA,NA
CARDIOMETABOLIC_DEFA1_P59665_OID01277,CARDIOMETABOLIC,DEFA1,P59665,OID01277,plasma,39.88095238095239,NA,NA,NA,NA,NA,NA
CARDIOMETABOLIC_DPP4_P27487_OID01266,CARDIOMETABOLIC,DPP4,P27487,OID01266,CSF,0,NA,NA,NA,-7.942402603942909,NA,-0.08359545453604239
CARDIOMETABOLIC_DPP4_P27487_OID01266,CARDIOMETABOLIC,DPP4,P27487,OID01266,plasma,0.3968253968253968,2.349506388888889,7.507985438641011,11.063416977712155,9.376961785979992,8.149598425845584,-0.08359545453604239
CARDIOMETABOLIC_EFEMP1_Q12805_OID01281,CARDIOMETABOLIC,EFEMP1,Q12805,OID01281,plasma,0.3968253968253968,4.488558611111111,5.1073134799118645,6.291959639644288,5.795783262427425,5.234770944487611,0.257730253663693
CARDIOMETABOLIC_EFEMP1_Q12805_OID01281,CARDIOMETABOLIC,EFEMP1,Q12805,OID01281,CSF,0,NA,NA,NA,3.1367584403270445,NA,0.257730253663693
CARDIOMETABOLIC_ENG_P17813_OID01254,CARDIOMETABOLIC,ENG,P17813,OID01254,CSF,0,NA,NA,NA,15.515008423169835,NA,0.20510242896765823
CARDIOMETABOLIC_ENG_P17813_OID01254,CARDIOMETABOLIC,ENG,P17813,OID01254,plasma,0.3968253968253968,3.452037777777778,5.308269771157729,9.726421649625296,6.560085088549961,5.554762529297369,0.20510242896765823
CARDIOMETABOLIC_F11_P03951_OID01227,CARDIOMETABOLIC,F11,P03951,OID01227,CSF,0,NA,NA,NA,4.697544759860586,NA,0.1357119797076338
CARDIOMETABOLIC_F11_P03951_OID01227,CARDIOMETABOLIC,F11,P03951,OID01227,plasma,0.3968253968253968,7.840444166666667,1.4289090163711826,2.454802136876307,1.8700138470098164,1.820762220368901,0.1357119797076338
CARDIOMETABOLIC_F7_P08709_OID01239,CARDIOMETABOLIC,F7,P08709,OID01239,plasma,0.3968253968253968,5.274797777777778,3.15139688154994,5.674352600614049,4.630188079582641,3.6390678162016052,0.036672800153354786
CARDIOMETABOLIC_F7_P08709_OID01239,CARDIOMETABOLIC,F7,P08709,OID01239,CSF,6.382978723404255,NA,NA,NA,27.788049309425396,NA,0.036672800153354786
CARDIOMETABOLIC_FAP_Q12884_OID01282,CARDIOMETABOLIC,FAP,Q12884,OID01282,CSF,95.74468085106383,NA,NA,NA,NA,NA,NA
CARDIOMETABOLIC_FAP_Q12884_OID01282,CARDIOMETABOLIC,FAP,Q12884,OID01282,plasma,2.976190476190476,1.3302395,16.17420539846893,12.607431437275704,27.383114680968088,14.747375126914733,NA
CARDIOMETABOLIC_FCGR2A_P12318_OID01244,CARDIOMETABOLIC,FCGR2A,P12318,OID01244,plasma,0.3968253968253968,3.8658272222222223,5.176841972986356,8.522593098957607,6.239129534180255,6.223902701232133,0.56371435039497
CARDIOMETABOLIC_FCGR2A_P12318_OID01244,CARDIOMETABOLIC,FCGR2A,P12318,OID01244,CSF,0,NA,NA,NA,4.792800103883287,NA,0.56371435039497
CARDIOMETABOLIC_FCGR3B_O75015_OID01219,CARDIOMETABOLIC,FCGR3B,O75015,OID01219,plasma,0.3968253968253968,4.0105772222222225,3.280139797238319,5.855821373011966,7.754670196624564,4.787571198573691,0.4038078610128852
CARDIOMETABOLIC_FCGR3B_O75015_OID01219,CARDIOMETABOLIC,FCGR3B,O75015,OID01219,CSF,0,NA,NA,NA,24.861208742036695,NA,0.4038078610128852
CARDIOMETABOLIC_FCN2_Q15485_OID01290,CARDIOMETABOLIC,FCN2,Q15485,OID01290,plasma,0.5952380952380952,7.085131666666666,2.2553216028697913,5.107870969172998,2.427003873732049,2.857386166888285,0.27779953294329585
CARDIOMETABOLIC_FCN2_Q15485_OID01290,CARDIOMETABOLIC,FCN2,Q15485,OID01290,CSF,0,NA,NA,NA,-98.30364299142862,NA,0.27779953294329585
CARDIOMETABOLIC_FETUB_Q9UGM5_OID01305,CARDIOMETABOLIC,FETUB,Q9UGM5,OID01305,plasma,0.5952380952380952,3.4653497222222223,4.293409845805107,9.076284466199628,9.620795550120869,5.699289314275472,0.22951125905383346
CARDIOMETABOLIC_FETUB_Q9UGM5_OID01305,CARDIOMETABOLIC,FETUB,Q9UGM5,OID01305,CSF,0,NA,NA,NA,-34.435162842295085,NA,0.22951125905383346
CARDIOMETABOLIC_GAS6_Q14393_OID01286,CARDIOMETABOLIC,GAS6,Q14393,OID01286,plasma,0.3968253968253968,4.763705,3.0663674845674374,4.086589931410703,4.823952247315061,3.8058935961686013,0.3126919954587378
CARDIOMETABOLIC_GAS6_Q14393_OID01286,CARDIOMETABOLIC,GAS6,Q14393,OID01286,CSF,0,NA,NA,NA,1.752351006458206,NA,0.3126919954587378
CARDIOMETABOLIC_GNLY_P22749_OID01262,CARDIOMETABOLIC,GNLY,P22749,OID01262,CSF,10.638297872340425,NA,NA,NA,30.76411716614023,NA,0.6601825850555235
CARDIOMETABOLIC_GNLY_P22749_OID01262,CARDIOMETABOLIC,GNLY,P22749,OID01262,plasma,0.5952380952380952,1.7815234375,19.627227985372418,22.17718213146707,22.05332205826307,14.497485985584833,0.6601825850555235
CARDIOMETABOLIC_GP1BA_P07359_OID01234,CARDIOMETABOLIC,GP1BA,P07359,OID01234,plasma,0.3968253968253968,7.646308333333334,2.6920825258365615,11.010797970159157,4.055952010345321,7.307926290893948,0.1333252036325212
CARDIOMETABOLIC_GP1BA_P07359_OID01234,CARDIOMETABOLIC,GP1BA,P07359,OID01234,CSF,0,NA,NA,NA,26.914336883626444,NA,0.1333252036325212
CARDIOMETABOLIC_ICAM1_P05362_OID01230,CARDIOMETABOLIC,ICAM1,P05362,OID01230,plasma,0.3968253968253968,6.777141666666667,2.1002159635225714,3.5153825451327316,2.9171882403779756,2.671872415751951,0.17386169834512039
CARDIOMETABOLIC_ICAM1_P05362_OID01230,CARDIOMETABOLIC,ICAM1,P05362,OID01230,CSF,0,NA,NA,NA,3.1496691604205016,NA,0.17386169834512039
CARDIOMETABOLIC_ICAM3_P32942_OID01267,CARDIOMETABOLIC,ICAM3,P32942,OID01267,CSF,2.127659574468085,NA,NA,NA,18.35442327557369,NA,0.03478085733841931
CARDIOMETABOLIC_ICAM3_P32942_OID01267,CARDIOMETABOLIC,ICAM3,P32942,OID01267,plasma,0.3968253968253968,4.436661111111111,4.37255827333542,5.34519501111334,4.5533427531426804,4.449168129140193,0.03478085733841931
CARDIOMETABOLIC_IGFBP3_P17936_OID01255,CARDIOMETABOLIC,IGFBP3,P17936,OID01255,plasma,0.3968253968253968,5.4455430555555555,2.2550779357005926,4.747133446581967,3.302455109536466,3.344253172332818,0.10684108808227187
CARDIOMETABOLIC_IGFBP3_P17936_OID01255,CARDIOMETABOLIC,IGFBP3,P17936,OID01255,CSF,0,NA,NA,NA,6.4602586134439575,NA,0.10684108808227187
CARDIOMETABOLIC_IGFBP6_P24592_OID01264,CARDIOMETABOLIC,IGFBP6,P24592,OID01264,plasma,0.3968253968253968,5.479158888888889,2.401794878109344,3.9077852232724375,3.260435895299691,3.442193059257839,0.37279081174651296
CARDIOMETABOLIC_IGFBP6_P24592_OID01264,CARDIOMETABOLIC,IGFBP6,P24592,OID01264,CSF,0,NA,NA,NA,1.3421031543213773,NA,0.37279081174651296
CARDIOMETABOLIC_IGLC2_P0DOY2_OID01240,CARDIOMETABOLIC,IGLC2,P0DOY2,OID01240,CSF,0,NA,NA,NA,9.831457311327467,NA,0.5329747288373237
CARDIOMETABOLIC_IGLC2_P0DOY2_OID01240,CARDIOMETABOLIC,IGLC2,P0DOY2,OID01240,plasma,0.3968253968253968,5.997839166666667,2.6648603561579502,4.879652638255693,3.2477237338450395,3.5366836401341204,0.5329747288373237
CARDIOMETABOLIC_IL7R_P16871_OID01253,CARDIOMETABOLIC,IL7R,P16871,OID01253,CSF,36.17021276595745,NA,NA,NA,22.273977999311946,NA,NA
CARDIOMETABOLIC_IL7R_P16871_OID01253,CARDIOMETABOLIC,IL7R,P16871,OID01253,plasma,0.3968253968253968,3.2027419444444445,7.603545012026402,9.46019121645471,12.360198205644126,6.045418980156287,NA
CARDIOMETABOLIC_ITGAM_P11215_OID01242,CARDIOMETABOLIC,ITGAM,P11215,OID01242,CSF,17.02127659574468,NA,NA,NA,15.209570157685677,NA,NA
CARDIOMETABOLIC_ITGAM_P11215_OID01242,CARDIOMETABOLIC,ITGAM,P11215,OID01242,plasma,8.531746031746032,2.41444875,18.225303241201644,15.5591439582774,10.05723214160438,13.127445307599414,NA
CARDIOMETABOLIC_KIT_P10721_OID01241,CARDIOMETABOLIC,KIT,P10721,OID01241,CSF,0,NA,NA,NA,2.675327623772767,NA,0.2923243770760712
CARDIOMETABOLIC_KIT_P10721_OID01241,CARDIOMETABOLIC,KIT,P10721,OID01241,plasma,0.3968253968253968,4.454218611111111,3.534104486395222,4.66048278486381,3.517327612827272,3.972206853456726,0.2923243770760712
CARDIOMETABOLIC_LCN2_P80188_OID01278,CARDIOMETABOLIC,LCN2,P80188,OID01278,CSF,2.127659574468085,NA,NA,NA,NA,NA,NA
CARDIOMETABOLIC_LCN2_P80188_OID01278,CARDIOMETABOLIC,LCN2,P80188,OID01278,plasma,57.14285714285714,NA,NA,NA,NA,NA,NA
CARDIOMETABOLIC_LILRB1_Q8NHL6_OID01297,CARDIOMETABOLIC,LILRB1,Q8NHL6,OID01297,CSF,0,NA,NA,NA,4.55418804835699,NA,0.24006390223006183
CARDIOMETABOLIC_LILRB1_Q8NHL6_OID01297,CARDIOMETABOLIC,LILRB1,Q8NHL6,OID01297,plasma,0.3968253968253968,3.185848611111111,3.8350882174254646,6.891041430688907,7.114245748703132,4.946531556286073,0.24006390223006183
CARDIOMETABOLIC_LILRB2_Q8N423_OID01296,CARDIOMETABOLIC,LILRB2,Q8N423,OID01296,CSF,0,NA,NA,NA,6.595829134278644,NA,0.25104027183971056
CARDIOMETABOLIC_LILRB2_Q8N423_OID01296,CARDIOMETABOLIC,LILRB2,Q8N423,OID01296,plasma,0.3968253968253968,4.187370555555556,3.405677779883916,5.147623268121993,5.441805252730655,4.827489308258206,0.25104027183971056
CARDIOMETABOLIC_LILRB5_O75023_OID01220,CARDIOMETABOLIC,LILRB5,O75023,OID01220,CSF,0,NA,NA,NA,10.731026109563876,NA,0.8533798659016469
CARDIOMETABOLIC_LILRB5_O75023_OID01220,CARDIOMETABOLIC,LILRB5,O75023,OID01220,plasma,0.3968253968253968,5.171995277777778,3.037722519452335,2.728835259629788,4.070583970960669,3.5469944139835614,0.8533798659016469
CARDIOMETABOLIC_LTBP2_Q14767_OID01288,CARDIOMETABOLIC,LTBP2,Q14767,OID01288,CSF,0,NA,NA,NA,NA,NA,NA
CARDIOMETABOLIC_LTBP2_Q14767_OID01288,CARDIOMETABOLIC,LTBP2,Q14767,OID01288,plasma,35.51587301587302,NA,NA,NA,NA,NA,NA
CARDIOMETABOLIC_LYVE1_Q9Y5Y7_OID01307,CARDIOMETABOLIC,LYVE1,Q9Y5Y7,OID01307,CSF,0,NA,NA,NA,1.8050769527435948,NA,0.488149054442977
CARDIOMETABOLIC_LYVE1_Q9Y5Y7_OID01307,CARDIOMETABOLIC,LYVE1,Q9Y5Y7,OID01307,plasma,0.3968253968253968,7.060943888888889,1.4448894453058811,2.9368574694878236,2.6405039819164147,2.3484730895133694,0.488149054442977
CARDIOMETABOLIC_MBL2_P11226_OID01243,CARDIOMETABOLIC,MBL2,P11226,OID01243,CSF,0,NA,NA,NA,14.408520535091512,NA,0.11507996865230037
CARDIOMETABOLIC_MBL2_P11226_OID01243,CARDIOMETABOLIC,MBL2,P11226,OID01243,plasma,0.3968253968253968,9.242223611111111,1.5902342836195151,2.996218484499386,2.4984100367126088,2.3098361358812074,0.11507996865230037
CARDIOMETABOLIC_MEGF9_Q9H1U4_OID01303,CARDIOMETABOLIC,MEGF9,Q9H1U4,OID01303,CSF,0,NA,NA,NA,1.391583162175107,NA,0.15508249188372739
CARDIOMETABOLIC_MEGF9_Q9H1U4_OID01303,CARDIOMETABOLIC,MEGF9,Q9H1U4,OID01303,plasma,0.3968253968253968,4.364766388888889,4.129288375647819,5.901854288426452,7.34617066599804,4.407113280413025,0.15508249188372739
CARDIOMETABOLIC_MET_P08581_OID01238,CARDIOMETABOLIC,MET,P08581,OID01238,plasma,0.3968253968253968,3.5910433333333334,3.6029179165983587,5.248793307416573,6.558921311586999,4.574360752130962,-0.1397221288829436
CARDIOMETABOLIC_MET_P08581_OID01238,CARDIOMETABOLIC,MET,P08581,OID01238,CSF,0,NA,NA,NA,4.725610626372321,NA,-0.1397221288829436
CARDIOMETABOLIC_MFAP5_Q13361_OID01285,CARDIOMETABOLIC,MFAP5,Q13361,OID01285,CSF,0,NA,NA,NA,12.342147957961284,NA,0.27087485122150673
CARDIOMETABOLIC_MFAP5_Q13361_OID01285,CARDIOMETABOLIC,MFAP5,Q13361,OID01285,plasma,0.3968253968253968,2.4757130555555555,7.654621586886222,8.295617253952678,10.396375800482256,8.525670037824211,0.27087485122150673
CARDIOMETABOLIC_NCAM1_P13591_OID01247,CARDIOMETABOLIC,NCAM1,P13591,OID01247,plasma,0.3968253968253968,5.133361111111111,2.3562191127991197,3.9831342891074595,3.7289395544504185,3.2505888285192794,0.11678486069214751
CARDIOMETABOLIC_NCAM1_P13591_OID01247,CARDIOMETABOLIC,NCAM1,P13591,OID01247,CSF,0,NA,NA,NA,0.9970127754373695,NA,0.11678486069214751
CARDIOMETABOLIC_NID1_P14543_OID01250,CARDIOMETABOLIC,NID1,P14543,OID01250,CSF,0,NA,NA,NA,2.559572489324495,NA,0.6066288508824701
CARDIOMETABOLIC_NID1_P14543_OID01250,CARDIOMETABOLIC,NID1,P14543,OID01250,plasma,0.3968253968253968,4.532618611111111,5.0117115666111,15.275776073068016,6.007926781056227,5.942261297894669,0.6066288508824701
CARDIOMETABOLIC_NOTCH1_P46531_OID01273,CARDIOMETABOLIC,NOTCH1,P46531,OID01273,plasma,0.3968253968253968,4.2831077777777775,3.1682884801824276,4.771339546732386,4.909826513805573,4.050687239348039,0.3187545116923039
CARDIOMETABOLIC_NOTCH1_P46531_OID01273,CARDIOMETABOLIC,NOTCH1,P46531,OID01273,CSF,0,NA,NA,NA,2.0190921613049038,NA,0.3187545116923039
CARDIOMETABOLIC_NRP1_O14786_OID01217,CARDIOMETABOLIC,NRP1,O14786,OID01217,CSF,0,NA,NA,NA,93.93434838394319,NA,0.19896235447948815
CARDIOMETABOLIC_NRP1_O14786_OID01217,CARDIOMETABOLIC,NRP1,O14786,OID01217,plasma,0.3968253968253968,1.0036361111111112,8.565340303452732,15.818735710343994,44.48151243552075,12.32981290834308,0.19896235447948815
CARDIOMETABOLIC_OSMR_Q99650_OID01300,CARDIOMETABOLIC,OSMR,Q99650,OID01300,CSF,0,NA,NA,NA,13.17505637212907,NA,0.3177251036348999
CARDIOMETABOLIC_OSMR_Q99650_OID01300,CARDIOMETABOLIC,OSMR,Q99650,OID01300,plasma,0.3968253968253968,1.0956163888888888,9.661920834889955,13.710747162046138,20.53148365382721,9.45060040689533,0.3177251036348999
CARDIOMETABOLIC_PAM_P19021_OID01256,CARDIOMETABOLIC,PAM,P19021,OID01256,plasma,0.3968253968253968,3.270903888888889,4.084088477524258,4.925051606754601,7.377066307367755,4.959018570887334,0.3642732135254742
CARDIOMETABOLIC_PAM_P19021_OID01256,CARDIOMETABOLIC,PAM,P19021,OID01256,CSF,0,NA,NA,NA,2.004352065829025,NA,0.3642732135254742
CARDIOMETABOLIC_PCOLCE_Q15113_OID01289,CARDIOMETABOLIC,PCOLCE,Q15113,OID01289,plasma,0.3968253968253968,7.019082222222222,2.202614793876461,2.457214054103582,3.545907009404711,3.690313479968308,0.21562445565903876
CARDIOMETABOLIC_PCOLCE_Q15113_OID01289,CARDIOMETABOLIC,PCOLCE,Q15113,OID01289,CSF,0,NA,NA,NA,1.4527948140103162,NA,0.21562445565903876
CARDIOMETABOLIC_PLA2G7_Q13093_OID01283,CARDIOMETABOLIC,PLA2G7,Q13093,OID01283,CSF,87.2340425531915,NA,NA,NA,62.16910445113827,NA,NA
CARDIOMETABOLIC_PLA2G7_Q13093_OID01283,CARDIOMETABOLIC,PLA2G7,Q13093,OID01283,plasma,0.3968253968253968,2.260710555555556,8.643991264263962,8.006497788193592,10.653346474945794,8.975561483987832,NA
CARDIOMETABOLIC_PLTP_P55058_OID01275,CARDIOMETABOLIC,PLTP,P55058,OID01275,CSF,0,NA,NA,NA,6.651892091125046,NA,0.24738888309115378
CARDIOMETABOLIC_PLTP_P55058_OID01275,CARDIOMETABOLIC,PLTP,P55058,OID01275,plasma,0.3968253968253968,2.4210286111111112,8.320120928376793,9.54382688822917,8.197205859980272,8.884475503927671,0.24738888309115378
CARDIOMETABOLIC_PLXNB2_O15031_OID01218,CARDIOMETABOLIC,PLXNB2,O15031,OID01218,plasma,0.3968253968253968,2.4181594444444445,9.871417275417926,16.11640404783973,9.297603466006317,7.034576432241261,0.47402187874512625
CARDIOMETABOLIC_PLXNB2_O15031_OID01218,CARDIOMETABOLIC,PLXNB2,O15031,OID01218,CSF,0,NA,NA,NA,3.528349698346676,NA,0.47402187874512625
